Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,73,71,71,71,0,66
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,55,55,52,55,60,0,0,58
Maldives,0,0,0,0,0,0,0,0,0,33,28,25,23,25,0,0,0,0,36
St. Lucia,0,0,0,0,0,0,0,0,0,68,71,70,0,70,71,71,0,0,60
"Korea, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,8,8,12
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,15,11
Guinea-Bissau,0,0,0,0,0,0,0,0,0,22,19,19,21,22,25,19,19,17,16
Comoros,0,0,0,0,0,0,0,0,0,26,25,23,21,24,28,28,26,26,24
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,28,29,34,33,33,33,36
Djibouti,0,0,0,0,0,0,0,0,0,29,30,28,32,30,36,36,34,34,30
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,27,27,28,30,30,42,42,42,42,46
Montenegro,0,0,0,0,0,0,0,0,0,33,34,39,37,40,41,44,42,44,45
Cabo Verde,0,0,0,0,0,0,0,0,0,49,51,51,51,55,60,58,57,55,59
Somalia,0,0,0,0,0,0,0,21,0,14,10,11,11,10,8,8,8,8,10
Liberia,0,0,0,0,0,0,0,22,0,21,24,31,33,32,41,38,37,37,37
Afghanistan,0,0,0,0,0,0,0,25,0,18,15,13,14,15,8,8,12,11,15
Guinea,0,0,0,0,0,0,0,0,19,19,16,18,20,21,24,24,25,25,27
Chad,0,0,0,0,0,0,17,17,20,18,16,16,17,20,19,19,22,22,20
"Congo, Dem. Rep.",0,0,0,0,0,0,20,21,20,19,17,19,20,20,21,22,22,22,21
Cambodia,0,0,0,0,0,0,0,23,21,20,18,20,21,21,22,20,21,21,21
Turkmenistan,0,0,0,0,0,0,20,18,22,20,18,18,16,16,17,17,17,18,22
Niger,0,0,0,0,0,0,22,24,23,26,28,29,26,25,33,34,35,34,35
Central African Republic,0,0,0,0,0,0,0,0,24,20,20,20,21,22,26,25,24,24,20
Togo,0,0,0,0,0,0,0,0,24,23,27,28,24,24,30,29,29,32,32
Burundi,0,0,0,0,0,0,0,23,24,25,19,18,18,19,19,21,20,21,20
Guyana,0,0,0,0,0,0,0,25,25,26,26,26,27,25,28,27,30,29,34
Nepal,0,0,0,0,0,0,28,25,25,25,27,23,22,22,27,31,29,27,29
Benin,0,0,0,0,0,0,32,29,25,27,31,29,28,30,36,36,39,37,36
Rwanda,0,0,0,0,0,0,0,31,25,28,30,33,40,50,53,53,49,54,54
Timor-Leste,0,0,0,0,0,0,0,0,26,26,22,22,25,24,33,30,28,28,35
Lao PDR,0,0,0,0,0,0,0,33,26,19,20,20,21,22,21,26,25,25,30
Eritrea,0,0,0,0,0,0,26,26,29,28,26,26,26,25,25,20,18,18,18
Gabon,0,0,0,0,0,0,33,29,30,33,31,29,28,30,35,34,37,34,35
Suriname,0,0,0,0,0,0,43,32,30,35,36,37,0,30,37,36,36,36,45
Mauritania,0,0,0,0,0,0,0,0,31,26,28,25,23,24,31,30,30,31,27
Lesotho,0,0,0,0,0,0,0,34,32,33,32,33,35,35,45,49,49,44,39
Dominica,0,0,0,0,0,0,0,0,45,56,60,59,52,52,58,58,58,0,59
Bhutan,0,0,0,0,0,0,0,0,60,50,52,50,57,57,63,63,65,65,65
Malta,0,0,0,0,0,0,68,66,64,58,58,52,56,56,57,56,55,56,55
Barbados,0,0,0,0,0,0,73,69,67,69,70,74,78,78,76,75,74,0,61
Mongolia,0,43,0,0,0,0,30,30,28,30,30,27,27,27,36,38,39,39,38
Myanmar,0,0,0,0,0,16,17,18,19,14,13,14,14,15,15,21,21,22,28
Tajikistan,0,0,0,0,0,18,20,21,22,21,20,20,21,23,22,22,23,26,25
Papua New Guinea,0,0,0,0,0,21,26,23,24,20,20,21,21,22,25,25,25,25,28
Libya,0,0,0,0,0,21,25,25,27,25,26,25,22,20,21,15,18,16,14
Kyrgyz Republic,0,22,0,0,0,21,22,23,22,21,18,19,20,21,24,24,27,28,28
Iraq,0,0,0,0,0,22,21,22,19,15,13,15,15,18,18,16,16,16,17
"Congo, Rep.",0,0,0,0,0,22,23,23,22,21,19,19,21,22,26,22,23,23,20
Sierra Leone,0,0,0,0,0,22,23,24,22,21,19,22,24,25,31,30,31,29,30
Sudan,0,0,0,0,0,23,22,21,20,18,16,15,16,16,13,11,11,12,14
Serbia,0,0,0,0,0,23,27,28,30,34,34,35,35,33,39,42,41,40,42
"Macedonia, FYR",0,33,0,0,0,23,27,27,27,33,36,38,41,39,43,44,45,42,37
"Gambia, The",0,0,0,0,0,25,28,27,25,23,19,29,32,35,34,28,29,28,26
"Yemen, Rep.",0,0,0,0,0,26,24,27,26,25,23,21,22,21,23,18,19,18,14
Algeria,0,0,0,0,0,26,27,28,31,30,32,28,29,29,34,36,36,36,34
"Iran, Islamic Rep.",0,0,0,0,0,30,29,29,27,25,23,18,22,27,28,25,27,27,29
Mali,0,0,0,0,0,30,32,29,28,27,31,28,27,28,34,28,32,35,32
Lebanon,0,0,0,0,0,30,27,31,36,30,30,25,25,25,30,28,27,28,28
Bosnia and Herzegovina,0,0,0,0,0,33,31,29,29,33,32,30,32,32,42,42,39,38,39
Syrian Arab Republic,0,0,0,0,0,34,34,34,29,24,21,26,25,26,26,17,20,18,13
Saudi Arabia,0,0,0,0,0,45,34,34,33,34,35,43,47,44,44,46,49,52,46
Cuba,0,0,0,0,0,46,37,38,35,42,43,44,37,42,48,46,46,47,47
United Arab Emirates,0,0,0,0,0,52,61,62,62,57,59,65,63,68,68,69,70,70,66
Kuwait,0,0,0,0,0,53,46,47,48,43,43,41,45,46,44,43,44,49,41
Qatar,0,0,0,0,0,56,52,59,60,60,65,70,77,72,68,68,69,71,61
Cyprus,0,0,0,0,0,61,54,57,56,53,64,66,63,63,66,63,63,61,55
Bahrain,0,0,0,0,0,61,58,58,57,50,54,51,49,51,51,48,49,51,43
Oman,0,0,0,0,0,63,61,63,54,47,55,55,53,48,47,47,45,45,45
Mozambique,0,35,22,0,0,27,28,28,28,28,26,25,27,27,31,30,31,31,27
Armenia,0,25,25,0,0,30,31,29,29,30,29,27,26,26,34,36,37,35,33
Burkina Faso,0,0,30,0,0,0,0,34,32,29,35,36,31,31,38,38,38,38,42
Bangladesh,0,0,0,4,12,13,15,17,20,20,21,24,24,27,26,27,25,25,26
Nigeria,19,16,12,10,16,14,16,19,22,22,27,25,24,25,27,25,27,26,28
Paraguay,15,20,0,0,17,16,19,21,26,24,24,21,22,22,25,24,24,27,30
Madagascar,0,0,0,0,17,26,31,28,31,32,34,30,26,30,32,28,28,28,26
Angola,0,0,17,0,17,18,20,20,22,22,19,19,19,20,22,23,19,15,18
Indonesia,20,17,17,19,19,19,20,22,24,23,26,28,28,30,32,32,34,36,37
Kenya,25,20,21,20,19,19,21,21,22,21,21,22,21,22,27,27,25,25,26
Azerbaijan,0,17,15,20,20,18,19,22,24,21,19,23,24,24,27,28,29,29,30
Uganda,26,22,23,19,21,22,26,25,27,28,26,25,25,24,29,26,26,25,25
Moldova,0,26,26,31,21,24,23,29,32,28,29,33,29,29,36,35,35,33,30
Haiti,0,0,0,0,22,15,15,18,18,16,14,18,22,18,19,19,19,17,20
Cameroon,14,15,20,20,22,18,21,22,23,24,23,22,22,25,26,25,27,27,26
Ecuador,23,24,26,23,22,22,24,25,23,21,20,22,25,27,32,35,33,32,31
Bolivia,28,25,27,20,22,23,22,25,27,29,30,27,28,28,34,34,35,34,33
Kazakhstan,0,23,30,27,23,24,22,26,26,21,22,27,29,27,28,26,29,28,29
Georgia,0,23,0,0,24,18,20,23,28,34,39,41,38,41,52,49,52,52,57
Ukraine,28,26,15,21,24,23,22,26,28,27,25,22,24,23,26,25,26,27,29
Vietnam,25,26,25,26,24,24,26,26,26,26,27,27,27,29,31,31,31,31,33
Guatemala,31,32,0,29,25,24,22,25,26,28,31,34,32,27,33,29,32,28,28
Albania,0,23,0,0,25,25,25,24,26,29,34,32,33,31,33,31,33,36,39
Nicaragua,30,31,0,24,25,26,27,26,26,26,25,25,25,25,29,28,28,27,26
"Venezuela, RB",23,26,27,28,25,24,23,23,23,20,19,19,20,19,19,20,19,17,17
Pakistan,27,22,0,23,26,25,21,21,22,24,25,24,23,25,27,28,29,30,32
Philippines,33,36,28,29,26,25,26,25,25,25,23,24,24,26,34,36,38,35,35
Romania,30,33,29,28,26,28,29,30,31,37,38,38,37,36,44,43,43,46,48
Zambia,35,35,34,26,26,25,26,26,26,26,28,30,30,32,37,38,38,38,38
Honduras,17,18,0,27,27,23,23,26,25,25,26,25,24,26,28,26,29,31,30
Russian Federation,24,24,21,23,27,27,28,24,25,23,21,22,21,25,28,28,27,29,29
Tanzania,19,19,25,22,27,25,28,29,29,32,30,26,27,30,35,33,31,30,32
Cote d'Ivoire,31,26,27,24,27,21,20,19,21,21,20,21,22,22,29,27,32,32,34
India,29,29,28,27,27,28,28,29,33,35,34,34,33,31,36,36,38,38,40
Zimbabwe,42,41,30,29,27,23,23,26,24,21,18,22,24,22,20,21,21,21,22
Argentina,30,30,35,35,28,25,25,28,29,29,29,29,29,30,35,34,34,32,36
Uzbekistan,0,18,24,27,29,24,23,22,21,17,18,17,16,16,17,17,18,19,21
Malawi,41,41,41,32,29,28,28,28,27,27,28,33,34,30,37,37,33,31,31
Panama,0,0,0,37,30,34,37,35,31,32,34,34,36,33,38,35,37,39,38
Senegal,33,34,35,29,31,32,30,32,33,36,34,30,29,29,36,41,43,44,45
Thailand,30,32,32,32,32,33,36,38,36,33,35,34,35,34,37,35,38,38,35
Turkey,34,36,38,36,32,31,32,35,38,41,46,44,44,42,49,50,45,42,41
"Egypt, Arab Rep.",29,33,31,36,34,33,32,34,33,29,28,28,31,29,32,32,37,36,34
El Salvador,36,39,41,36,34,37,42,42,40,40,39,34,36,34,38,38,39,39,36
Dominican Republic,0,0,0,31,35,33,29,30,28,30,30,30,30,26,32,29,32,33,31
China,35,34,31,35,35,34,34,32,33,35,36,36,35,36,39,40,36,37,40
Ethiopia,0,0,32,0,35,25,23,22,24,24,26,27,27,27,33,33,33,33,34
Colombia,22,29,32,38,36,37,38,40,39,38,38,37,35,35,36,36,37,37,37
Mexico,33,34,33,37,36,36,36,35,33,35,36,33,31,30,34,34,35,35,30
Sri Lanka,0,0,0,0,37,34,35,32,31,32,32,31,32,33,40,37,38,37,36
Latvia,27,34,34,34,37,38,40,42,47,48,50,45,43,42,49,53,55,55,57
Slovak Republic,39,37,35,37,37,37,40,43,47,49,50,45,43,40,46,47,50,51,51
Czech Republic,48,46,43,39,37,39,42,43,48,52,52,49,46,44,49,48,51,56,55
Morocco,37,41,47,0,37,33,32,32,32,35,35,33,34,34,37,37,39,36,37
Croatia,0,27,37,39,38,37,35,34,34,41,44,41,41,40,46,48,48,51,49
Ghana,33,33,35,34,39,33,36,35,33,37,39,39,41,39,45,46,48,47,43
Jamaica,38,38,0,0,40,38,33,36,37,33,31,30,33,33,38,38,38,41,39
Bulgaria,29,33,35,39,40,39,41,40,40,41,36,38,36,33,41,41,43,41,41
Brazil,40,41,39,40,40,39,39,37,33,35,35,37,37,38,43,42,43,38,40
Poland,46,42,41,41,40,36,35,34,37,42,46,50,53,55,58,60,61,62,62
Peru,45,45,44,41,40,37,35,35,33,35,36,37,35,34,38,38,38,36,35
Greece,49,49,49,42,42,43,43,43,44,46,47,38,35,34,36,40,43,46,44
"Korea, Dem. Rep.",42,38,40,42,45,43,45,50,51,51,56,55,54,54,56,55,55,56,53
Jordan,47,44,46,49,45,46,53,57,53,47,51,50,47,45,48,45,49,53,48
Mauritius,50,49,47,45,45,44,41,42,51,47,55,54,54,51,57,52,54,53,54
Costa Rica,56,51,54,45,45,43,49,42,41,50,51,53,53,48,54,53,54,55,58
Belarus,39,34,41,0,48,42,33,26,21,21,20,24,25,24,31,29,31,32,40
Lithuania,0,38,41,48,48,47,46,48,48,48,46,49,50,48,54,57,58,61,59
South Africa,52,50,50,48,48,44,46,45,46,51,49,47,45,41,43,42,44,44,45
Tunisia,50,50,52,53,48,49,50,49,46,42,44,42,43,38,41,41,40,38,41
Trinidad and Tobago,0,0,0,53,49,46,42,38,32,34,36,36,36,32,39,38,38,39,35
Malaysia,53,51,48,50,49,52,50,51,50,51,51,45,44,43,49,50,52,50,49
Hungary,50,52,52,53,49,48,48,50,52,53,51,51,47,46,55,54,54,51,48
Uruguay,43,44,0,51,51,55,62,59,64,67,69,67,69,70,72,73,73,74,71
Italy,46,47,46,55,52,53,48,50,49,52,48,43,39,39,42,43,43,44,47
Taiwan,53,56,55,59,56,57,56,59,59,57,57,56,58,61,61,61,61,62,61
Estonia,57,57,57,56,56,55,60,64,67,65,66,66,65,64,64,68,69,70,70
Namibia,53,53,54,54,57,47,41,43,41,45,45,45,44,44,48,48,49,53,52
Slovenia,0,60,55,52,60,59,60,61,64,66,67,66,64,59,61,57,58,60,61
Portugal,65,67,64,63,63,66,63,65,66,65,61,58,60,61,63,62,63,63,62
France,67,66,67,67,63,69,71,75,74,73,69,69,68,70,71,71,69,70,69
Botswana,61,61,60,60,64,57,60,59,56,54,58,56,58,61,65,64,63,63,60
Ireland,82,77,72,75,69,75,75,74,74,75,77,80,80,75,69,72,74,75,73
Belgium,54,53,61,66,71,76,75,74,73,71,73,71,71,75,75,75,76,77,77
Japan,58,60,64,71,71,70,69,73,76,75,73,77,78,80,74,74,76,75,72
Spain,61,66,70,70,71,69,71,70,68,67,65,61,61,62,65,59,60,58,58
Israel,71,68,66,76,73,70,64,63,59,61,60,61,61,58,60,61,60,61,64
Germany,79,80,76,74,73,77,82,82,80,78,79,80,79,81,79,78,79,81,81
Chile,68,69,74,75,75,74,74,73,73,70,69,67,72,72,72,71,73,70,66
United States,75,75,78,76,77,75,75,76,73,72,73,75,71,71,73,73,74,76,74
Austria,75,76,77,78,78,80,84,87,86,81,81,79,79,78,69,69,72,76,75
"Hong Kong SAR, China",78,77,77,79,82,80,80,83,83,83,81,82,84,84,77,75,74,75,77
Switzerland,89,89,86,84,85,88,91,91,91,90,90,90,87,88,86,85,86,86,86
Norway,90,89,91,86,85,88,89,89,88,87,79,86,86,90,85,86,86,87,85
Australia,87,87,83,85,86,88,88,88,87,86,87,87,87,88,85,81,80,79,79
United Kingdom,87,86,87,83,87,87,86,86,86,84,77,77,76,78,74,76,78,81,81
Luxembourg,87,88,86,87,90,87,84,85,86,84,83,82,85,85,80,80,82,81,81
Netherlands,90,90,89,88,90,89,87,86,87,90,89,89,88,89,84,83,83,87,83
Canada,92,92,92,89,90,87,85,84,85,87,87,87,89,87,84,81,81,83,82
Singapore,91,91,91,92,93,94,93,94,94,93,92,92,93,92,87,86,84,85,84
Sweden,95,94,94,90,93,93,92,92,92,93,93,92,92,93,88,89,87,89,88
Iceland,93,92,91,92,94,96,95,97,96,92,89,87,85,83,82,78,79,79,78
